Accession,Host
NC_110914,Escherichia coli
NC_130755,Pasteurella multocida
NC_103776,Enterococcus faecium
NC_105858,Enterococcus faecium
NC_109279,Enterococcus faecium
NC_100732,Escherichia coli
NC_104261,Mediterraneibacter gnavus
NC_093712,Escherichia coli
NC_093713,Escherichia coli
NC_096890,Streptomyces lividans
NC_104951,Vibrio parahaemolyticus
NC_128954,Xanthomonas arboricola
NC_096909,Microbacterium paraoxydans
NC_111672,Klebsiella oxytoca
NC_079174,Erwinia amylovora
NC_079175,Escherichia coli
NC_079176,Escherichia coli
NC_079177,Yersinia pseudotuberculosis
NC_079178,Yersinia pseudotuberculosis
NC_079179,Yersinia pseudotuberculosis
NC_079180,Escherichia coli
NC_079181,Escherichia coli
NC_079182,Escherichia sp.
NC_079183,Escherichia coli
NC_079184,Escherichia coli
NC_079185,Vibrio parahaemolyticus
NC_079186,Aeromonas veronii
NC_079187,Aeromonas hydrophila
NC_079188,Aeromonas hydrophila
NC_079140,Gordonia rubripertincta
NC_079141,Gordonia rubripertincta
NC_079142,Gordonia terrae
NC_079143,Gordonia terrae
NC_079144,Gordonia terrae
NC_079145,Gordonia terrae
NC_079146,Gordonia terrae
NC_074762,Xanthomonas citri
NC_074763,Pseudomonas aeruginosa
NC_074765,Escherichia coli
NC_075031,Escherichia coli
NC_075032,Escherichia coli
NC_075033,Escherichia coli
NC_074742,Pseudomonas aeruginosa
NC_074743,Pseudomonas aeruginosa
NC_074744,Pseudomonas aeruginosa
NC_074745,Pseudomonas aeruginosa
NC_074746,Pseudomonas aeruginosa
NC_074747,Pseudomonas aeruginosa
NC_074748,Pseudomonas aeruginosa
NC_074749,Pseudomonas aeruginosa
NC_074750,Pseudomonas aeruginosa
NC_074751,Serratia marcescens
NC_074752,Serratia marcescens
NC_074753,Serratia marcescens
NC_074754,Serratia marcescens
NC_074755,Serratia marcescens
NC_074756,Serratia marcescens
NC_074757,Serratia marcescens
NC_074758,Serratia marcescens
NC_073747,Salmonella enterica
NC_073748,Vibrio cholerae
NC_073749,Vibrio cholerae
NC_073750,Vibrio cholerae
NC_073751,Erwinia amylovora
NC_073752,Xanthomonas citri
NC_073754,Xanthomonas campestris
NC_073755,Xanthomonas campestris
NC_073756,Pseudomonas aeruginosa
NC_073757,Ralstonia solanacearum
NC_073758,Vibrio anguillarum
NC_073759,Vibrio alginolyticus
NC_073760,Vibrio alginolyticus
NC_074560,Bacillus cereus
NC_074561,Bacillus cereus
NC_074632,Acidianus brierleyi
NC_074633,Metallosphaera sedula
NC_074634,Saccharolobus solfataricus
NC_074637,Pyrobaculum arsenaticum
NC_074641,Methanocaldococcus fervens
NC_074642,Methanoculleus bourgensis
NC_074643,Promethearchaeati archaeon
NC_074644,Promethearchaeati archaeon
NC_074645,Promethearchaeati archaeon
NC_074646,Natrinema sp. J7-1
NC_074647,Haloarcula hispanica
NC_074651,Natrinema thermotolerans
NC_074652,Natrinema versiforme
NC_074653,Pyrobaculum arsenaticum
NC_074654,Thermoproteus sp. CP80
NC_074656,Nitrosopumilus sp.
NC_074657,Nitrosopumilus sp.
NC_074658,Pseudomonas syringae
NC_074659,Pseudomonas sp. ANT_H14
NC_074661,Pseudomonas syringae
NC_074662,Pseudomonas aeruginosa
NC_074663,Pseudomonas aeruginosa
NC_074664,Pseudomonas aeruginosa
NC_073672,Pseudomonas aeruginosa
NC_073675,Pseudomonas aeruginosa
NC_073676,Pseudomonas sp.
NC_073601,Pseudomonas aeruginosa
NC_073602,Pseudomonas aeruginosa
NC_073603,Pseudomonas aeruginosa
NC_073604,Pseudomonas aeruginosa
NC_073605,Pseudomonas aeruginosa
NC_073606,Pseudomonas aeruginosa
NC_073607,Pseudomonas aeruginosa
NC_073608,Pseudomonas aeruginosa
NC_073609,Pseudomonas aeruginosa
NC_073610,Pseudomonas aeruginosa
NC_073611,Pseudomonas aeruginosa
NC_073612,Pseudomonas aeruginosa
NC_073613,Pseudomonas aeruginosa
NC_073614,Pseudomonas aeruginosa
NC_073615,Pseudomonas aeruginosa
NC_073616,Pseudomonas aeruginosa
NC_073618,Pseudomonas aeruginosa
NC_073619,Pseudomonas aeruginosa
NC_073620,Pseudomonas aeruginosa
NC_073621,Pseudomonas aeruginosa
NC_073622,Pseudomonas aeruginosa
NC_073623,Pseudomonas aeruginosa
NC_073595,Arthrobacter globiformis
NC_073596,Arthrobacter globiformis
NC_073598,Arthrobacter globiformis
NC_073599,Arthrobacter globiformis
NC_073600,Arthrobacter globiformis
NC_073483,Streptomyces sanglieri
NC_073484,Streptomyces sanglieri
NC_073485,Streptomyces sanglieri
NC_073486,Streptomyces sanglieri
NC_073487,Streptomyces sanglieri
NC_073488,Streptomyces sanglieri
NC_073489,Streptomyces sanglieri
NC_073490,Streptomyces sanglieri
NC_073588,Arthrobacter globiformis
NC_073589,Arthrobacter globiformis
NC_073590,Arthrobacter globiformis
NC_073591,Arthrobacter globiformis
NC_073592,Arthrobacter globiformis
NC_073593,Arthrobacter globiformis
NC_073594,Arthrobacter globiformis
NC_073476,Curtobacterium sp.
NC_073477,Curtobacterium sp.
NC_073478,Bifidobacterium dentium
NC_073479,Glutamicibacter arilaitensis
NC_073456,Rhodococcus erythropolis
NC_073457,Streptomyces venezuelae
NC_073458,Corynebacterium flavescens
NC_073459,Gordonia terrae
NC_073460,Microbacterium paraoxydans
NC_073461,Streptomyces lividans
NC_073462,Streptomyces lividans
NC_073463,Mycolicibacterium smegmatis
NC_073464,Mycolicibacterium smegmatis
NC_073465,Mycolicibacterium smegmatis
NC_073466,Microbacterium radiodurans
NC_073467,Microbacterium foliorum
NC_073468,Microbacterium paraoxydans
NC_073469,Arthrobacter globiformis
NC_073470,Microbacterium paraoxydans
