pident,length,taxonomy,accuracy
90,100,species,0.733878729547642
90,100,genus,0.8657362848893166
90,100,family,0.9417709335899904
91,100,species,0.7577479338842975
91,100,genus,0.8667355371900827
91,100,family,0.9421487603305785
92,100,species,0.7762863534675615
92,100,genus,0.8747203579418344
92,100,family,0.9474272930648769
93,100,species,0.7869750456482045
93,100,genus,0.8849665246500305
93,100,family,0.9537431527693244
94,100,species,0.7994542974079127
94,100,genus,0.9072305593451568
94,100,family,0.9720327421555253
95,100,species,0.8221225710014948
95,100,genus,0.9230194319880418
95,100,family,0.9820627802690582
96,100,species,0.8220198675496688
96,100,genus,0.9312913907284768
96,100,family,0.9809602649006622
97,100,species,0.815515610217597
97,100,genus,0.9290444654683065
97,100,family,0.978240302743614
98,100,species,0.8079470198675497
98,100,genus,0.9249448123620309
98,100,family,0.9790286975717439
99,100,species,0.8559322033898306
99,100,genus,0.942090395480226
99,100,family,0.9788135593220338
100,100,species,0.788235294117647
100,100,genus,0.8666666666666667
100,100,family,0.9529411764705882
90,200,species,0.7677233429394813
90,200,genus,0.8870317002881845
90,200,family,0.9331412103746398
91,200,species,0.7895384615384615
91,200,genus,0.896
91,200,family,0.9341538461538461
92,200,species,0.8032236400268636
92,200,genus,0.9039623908663532
92,200,family,0.9402283411685695
93,200,species,0.8144863266814486
93,200,genus,0.9150036954915004
93,200,family,0.9475240206947524
94,200,species,0.8338954468802698
94,200,genus,0.9401349072512648
94,200,family,0.9704890387858347
95,200,species,0.851512373968836
95,200,genus,0.9578368469294225
95,200,family,0.9862511457378552
96,200,species,0.8444444444444444
96,200,genus,0.9616161616161616
96,200,family,0.9858585858585859
97,200,species,0.8692129629629629
97,200,genus,0.9699074074074074
97,200,family,0.9849537037037037
98,200,species,0.8800521512385919
98,200,genus,0.9661016949152542
98,200,family,0.9856584093872229
99,200,species,0.8809891808346213
99,200,genus,0.9706336939721792
99,200,family,0.9845440494590417
100,200,species,0.8418367346938775
100,200,genus,0.9336734693877551
100,200,family,0.9744897959183674
90,300,species,0.7604491578290705
90,300,genus,0.877105427323768
90,300,family,0.9238927011852776
91,300,species,0.7847082494969819
91,300,genus,0.886653252850436
91,300,family,0.926224010731053
92,300,species,0.7998528329654158
92,300,genus,0.8955114054451803
92,300,family,0.9315673289183223
93,300,species,0.8091353996737357
93,300,genus,0.9061990212071778
93,300,family,0.9380097879282219
94,300,species,0.8280373831775701
94,300,genus,0.9299065420560748
94,300,family,0.9616822429906542
95,300,species,0.8487654320987654
95,300,genus,0.9526748971193416
95,300,family,0.9814814814814815
96,300,species,0.8449258836944128
96,300,genus,0.9612314709236032
96,300,family,0.9794754846066135
97,300,species,0.8637532133676092
97,300,genus,0.967866323907455
97,300,family,0.9781491002570694
98,300,species,0.872093023255814
98,300,genus,0.9651162790697675
98,300,family,0.9825581395348837
99,300,species,0.888507718696398
99,300,genus,0.9725557461406518
99,300,family,0.9845626072041166
100,300,species,0.8795180722891566
100,300,genus,0.963855421686747
100,300,family,0.9879518072289156
90,400,species,0.7389261744966443
90,400,genus,0.8704697986577181
90,400,family,0.9073825503355705
91,400,species,0.7597402597402597
91,400,genus,0.8773448773448773
91,400,family,0.9098124098124099
92,400,species,0.7732696897374701
92,400,genus,0.8822593476531424
92,400,family,0.9124900556881463
93,400,species,0.7790594498669032
93,400,genus,0.8944099378881988
93,400,family,0.9210292812777284
94,400,species,0.8200202224469161
94,400,genus,0.9292214357937311
94,400,family,0.9565217391304348
95,400,species,0.8602272727272727
95,400,genus,0.9602272727272727
95,400,family,0.9829545454545454
96,400,species,0.8655043586550436
96,400,genus,0.9676214196762142
96,400,family,0.9813200498132005
97,400,species,0.8887362637362637
97,400,genus,0.9752747252747253
97,400,family,0.9848901098901099
98,400,species,0.8831562974203339
98,400,genus,0.9681335356600911
98,400,family,0.9863429438543247
99,400,species,0.8963093145869947
99,400,genus,0.9736379613356766
99,400,family,0.9859402460456942
100,400,species,0.8782051282051282
100,400,genus,0.9743589743589743
100,400,family,0.9935897435897436
90,500,species,0.7355253752680486
90,500,genus,0.8477483917083631
90,500,family,0.8856325947105075
91,500,species,0.7623143080531666
91,500,genus,0.8537920250195465
91,500,family,0.887412040656763
92,500,species,0.7697594501718213
92,500,genus,0.8556701030927835
92,500,family,0.8874570446735395
93,500,species,0.7728136882129277
93,500,genus,0.8697718631178707
93,500,family,0.8992395437262357
94,500,species,0.8182807399347116
94,500,genus,0.9140369967355821
94,500,family,0.9434167573449401
95,500,species,0.8545673076923077
95,500,genus,0.9567307692307693
95,500,family,0.9807692307692307
96,500,species,0.8592105263157894
96,500,genus,0.968421052631579
96,500,family,0.9828947368421053
97,500,species,0.8818443804034583
97,500,genus,0.9740634005763689
97,500,family,0.984149855907781
98,500,species,0.8769716088328076
98,500,genus,0.9684542586750788
98,500,family,0.9858044164037855
99,500,species,0.8916967509025271
99,500,genus,0.9747292418772563
99,500,family,0.9873646209386282
100,500,species,0.9084507042253521
100,500,genus,0.9859154929577465
100,500,family,0.9929577464788732
90,600,species,0.7705559906029757
90,600,genus,0.8794048551292091
90,600,family,0.9185591229444009
91,600,species,0.795551753635586
91,600,genus,0.8853721129170231
91,600,family,0.9204448246364414
92,600,species,0.795880149812734
92,600,genus,0.8792134831460674
92,600,family,0.9110486891385767
93,600,species,0.8008255933952528
93,600,genus,0.8937048503611971
93,600,family,0.9205366357069144
94,600,species,0.8339140534262486
94,600,genus,0.926829268292683
94,600,family,0.9523809523809523
95,600,species,0.862547288776797
95,600,genus,0.9634300126103404
95,600,family,0.9836065573770492
96,600,species,0.8594594594594595
96,600,genus,0.9716216216216216
96,600,family,0.9851351351351352
97,600,species,0.8833819241982507
97,600,genus,0.9752186588921283
97,600,family,0.9854227405247813
98,600,species,0.8773885350318471
98,600,genus,0.9681528662420382
98,600,family,0.9856687898089171
99,600,species,0.8921389396709324
99,600,genus,0.9744058500914077
99,600,family,0.9872029250457038
100,600,species,0.9064748201438849
100,600,genus,0.9856115107913669
100,600,family,0.9928057553956835
90,700,species,0.7556089743589743
90,700,genus,0.8645833333333334
90,700,family,0.9046474358974359
91,700,species,0.7805092186128183
91,700,genus,0.8656716417910447
91,700,family,0.9016681299385426
92,700,species,0.780114722753346
92,700,genus,0.864244741873805
