pident,length,taxonomy,accuracy
90,100,species,0.534167468719923
90,100,genus,0.7810394610202117
90,100,family,0.9234841193455245
91,100,species,0.5661157024793388
91,100,genus,0.7892561983471075
91,100,family,0.9271694214876033
92,100,species,0.5917225950782998
92,100,genus,0.7986577181208053
92,100,family,0.9312080536912751
93,100,species,0.6007303712720633
93,100,genus,0.8064516129032258
93,100,family,0.9373097991479001
94,100,species,0.6234652114597544
94,100,genus,0.8315143246930423
94,100,family,0.9590723055934516
95,100,species,0.6584454409566517
95,100,genus,0.843796711509716
95,100,family,0.968609865470852
96,100,species,0.679635761589404
96,100,genus,0.8609271523178808
96,100,family,0.9677152317880795
97,100,species,0.6944181646168401
97,100,genus,0.8571428571428571
97,100,family,0.9583727530747398
98,100,species,0.6865342163355408
98,100,genus,0.8410596026490066
98,100,family,0.9448123620309051
99,100,species,0.7669491525423728
99,100,genus,0.882768361581921
99,100,family,0.9491525423728814
100,100,species,0.7176470588235294
100,100,genus,0.8196078431372549
100,100,family,0.9333333333333333
90,200,species,0.5844380403458214
90,200,genus,0.8247838616714698
90,200,family,0.9181556195965418
91,200,species,0.6086153846153847
91,200,genus,0.8363076923076923
91,200,family,0.9224615384615384
92,200,species,0.6272666218938885
92,200,genus,0.8435191403626595
92,200,family,0.9288112827400941
93,200,species,0.6348854397634885
93,200,genus,0.8529194382852919
93,200,family,0.9364375461936437
94,200,species,0.6568296795952783
94,200,genus,0.8752107925801011
94,200,family,0.9603709949409781
95,200,species,0.6773602199816682
95,200,genus,0.8909257561869844
95,200,family,0.9752520623281393
96,200,species,0.701010101010101
96,200,genus,0.9030303030303031
96,200,family,0.9757575757575757
97,200,species,0.7418981481481481
97,200,genus,0.90625
97,200,family,0.9768518518518519
98,200,species,0.7614080834419817
98,200,genus,0.8891786179921773
98,200,family,0.9713168187744459
99,200,species,0.7975270479134466
99,200,genus,0.910355486862442
99,200,family,0.9675425038639877
100,200,species,0.7806122448979592
100,200,genus,0.8928571428571429
100,200,family,0.9642857142857143
90,300,species,0.5926388022457891
90,300,genus,0.819089207735496
90,300,family,0.9132875857766688
91,300,species,0.6203890006706908
91,300,genus,0.8289738430583501
91,300,family,0.9181757209926223
92,300,species,0.6342899190581309
92,300,genus,0.8366445916114791
92,300,family,0.9242089771891097
93,300,species,0.634584013050571
93,300,genus,0.8425774877650897
93,300,family,0.9298531810766721
94,300,species,0.6551401869158878
94,300,genus,0.8672897196261682
94,300,family,0.9542056074766355
95,300,species,0.6759259259259259
95,300,genus,0.8868312757201646
95,300,family,0.9732510288065843
96,300,species,0.6989737742303307
96,300,genus,0.9042189281641961
96,300,family,0.9703534777651083
97,300,species,0.7326478149100257
97,300,genus,0.903598971722365
97,300,family,0.9704370179948586
98,300,species,0.7572674418604651
98,300,genus,0.8880813953488372
98,300,family,0.9680232558139535
99,300,species,0.8044596912521441
99,300,genus,0.9142367066895368
99,300,family,0.9691252144082333
100,300,species,0.8132530120481928
100,300,genus,0.9156626506024096
100,300,family,0.9819277108433735
90,400,species,0.5993288590604027
90,400,genus,0.8093959731543624
90,400,family,0.8966442953020134
91,400,species,0.6305916305916306
91,400,genus,0.8138528138528138
91,400,family,0.8982683982683982
92,400,species,0.6380270485282419
92,400,genus,0.8162291169451074
92,400,family,0.9005568814638027
93,400,species,0.6353149955634427
