pident,length,taxonomy,ratio
90,100,species,0.046714657681115025
90,100,genus,0.24082998661311913
90,100,family,0.45874355368026254
91,100,species,0.05514830269538739
91,100,genus,0.25168741562921854
91,100,family,0.4676923076923077
92,100,species,0.06259301014656145
92,100,genus,0.25834159233564585
92,100,family,0.4653846153846154
93,100,species,0.06894161556918155
93,100,genus,0.2668379519177831
93,100,family,0.47398669086509376
94,100,species,0.0743938047480005
94,100,genus,0.27388797364085665
94,100,family,0.48288715689596745
95,100,species,0.08490274776165484
95,100,genus,0.28482472324723246
95,100,family,0.49791587722622205
96,100,species,0.0967270601987142
96,100,genus,0.29888416578108395
96,100,family,0.5074946466809421
97,100,species,0.11354056902002108
97,100,genus,0.3167741935483871
97,100,family,0.5291709314227226
98,100,species,0.14489311163895488
98,100,genus,0.3749440715883669
98,100,family,0.5961021505376344
99,100,species,0.19038642789820923
99,100,genus,0.42565411614550097
99,100,family,0.6220825852782765
100,100,species,0.2760989010989011
100,100,genus,0.5068807339449541
100,100,family,0.7210682492581603
90,200,species,0.06900124326564443
90,200,genus,0.32216872514130207
90,200,family,0.5454851752021563
91,200,species,0.07534648813718581
91,200,genus,0.3244206773618538
91,200,family,0.54253037884203
92,200,species,0.0791843220338983
92,200,genus,0.3215480172001911
92,200,family,0.5343511450381679
93,200,species,0.08340270945281163
93,200,genus,0.328294881994166
93,200,family,0.5483319076133447
94,200,species,0.08728267584502691
94,200,genus,0.3328358208955224
94,200,family,0.5633871757219775
95,200,species,0.09815108293713681
95,200,genus,0.3469455511288181
95,200,family,0.5863760217983651
96,200,species,0.10940976312001047
96,200,genus,0.35965243672081604
96,200,family,0.5965770171149144
97,200,species,0.1261548798924912
97,200,genus,0.3685136323658751
97,200,family,0.6031183557760453
98,200,species,0.16067602951678173
98,200,genus,0.43031358885017423
98,200,family,0.675603217158177
99,200,species,0.20263064344116602
99,200,genus,0.4768413059984814
99,200,family,0.6805555555555556
100,200,species,0.27638190954773867
100,200,genus,0.5398230088495575
100,200,family,0.7431906614785992
90,300,species,0.06953396839883634
90,300,genus,0.32085805568233683
90,300,family,0.5464944649446495
91,300,species,0.07535746489759114
91,300,genus,0.32134175984443364
91,300,family,0.5386115444617785
92,300,species,0.07870537976974876
92,300,genus,0.3177545691906005
92,300,family,0.5288220551378446
93,300,species,0.081639371245165
93,300,genus,0.3226837060702875
93,300,family,0.5416862929816297
94,300,species,0.08471983170778352
94,300,genus,0.3255890052356021
94,300,family,0.557421451787649
95,300,species,0.09427494000685636
95,300,genus,0.33636033418089356
95,300,family,0.5785324439053973
96,300,species,0.10509147638632818
96,300,genus,0.349647449191207
96,300,family,0.5875512995896033
97,300,species,0.1220708446866485
97,300,genus,0.36063218390804597
97,300,family,0.5949960906958561
98,300,species,0.15483870967741936
98,300,genus,0.4218551461245235
98,300,family,0.6739780658025922
99,300,species,0.19793656858998854
99,300,genus,0.4705394190871369
99,300,family,0.6800947867298578
100,300,species,0.2664233576642336
100,300,genus,0.5333333333333333
100,300,family,0.7387387387387387
90,400,species,0.07290907886894908
90,400,genus,0.3221559860904123
90,400,family,0.5371473976956694
91,400,species,0.0773241298281686
91,400,genus,0.3194955333683657
91,400,family,0.5269536147095696
92,400,species,0.07965907228323225
92,400,genus,0.31292325056433407
92,400,family,0.5155056179775281
93,400,species,0.08113102938458695
93,400,genus,0.3165829145728643
93,400,family,0.5290519877675841
94,400,species,0.0857565824257164
94,400,genus,0.32290934645115954
94,400,family,0.5512820512820513
95,400,species,0.09383909755795215
95,400,genus,0.3299492385786802
95,400,family,0.569078947368421
96,400,species,0.10470021090689967
96,400,genus,0.3428949691085613
96,400,family,0.5798381162619574
97,400,species,0.12263078089461714
97,400,genus,0.3584048460373549
97,400,family,0.5960099750623441
98,400,species,0.15462274176408078
98,400,genus,0.421957671957672
98,400,family,0.6820566631689402
99,400,species,0.20007846214201647
99,400,genus,0.47758620689655173
99,400,family,0.6934487021013597
100,400,species,0.25996204933586337
100,400,genus,0.5333333333333333
100,400,family,0.748792270531401
90,500,species,0.07700366684127816
90,500,genus,0.32298474945533767
90,500,family,0.5412844036697247
91,500,species,0.08124322973085576
91,500,genus,0.3168891468369124
91,500,family,0.5269266480965645
92,500,species,0.08326363720843788
92,500,genus,0.3107644305772231
92,500,family,0.5167583791895948
93,500,species,0.08477580813347237
93,500,genus,0.31671858774662515
93,500,family,0.5359773371104816
94,500,species,0.08842897460018814
94,500,genus,0.3218390804597701
94,500,family,0.5586340206185567
95,500,species,0.09597732181425486
95,500,genus,0.33347297863426895
95,500,family,0.5836909871244635
96,500,species,0.1051022050539192
96,500,genus,0.34831992427827735
96,500,family,0.5971223021582733
97,500,species,0.1224
97,500,genus,0.3650107991360691
97,500,family,0.6164259927797834
98,500,species,0.1566638489715413
98,500,genus,0.43515237420269315
98,500,family,0.715922107674685
99,500,species,0.20669456066945607
99,500,genus,0.4981549815498155
99,500,family,0.7264276228419655
100,500,species,0.2621951219512195
100,500,genus,0.5426356589147286
100,500,family,0.75
90,600,species,0.07810143662195412
90,600,genus,0.32484813422042236
90,600,family,0.5438108484005564
91,600,species,0.08202504850943729
91,600,genus,0.31846153846153846
91,600,family,0.5290068829891839
92,600,species,0.08346425765907306
92,600,genus,0.31010568031704094
92,600,family,0.5139989434759641
93,600,species,0.0849480021893815
93,600,genus,0.3157127232956617
93,600,family,0.5328554360812425
94,600,species,0.08796863513844647
94,600,genus,0.318562874251497
94,600,family,0.5518169582772544
95,600,species,0.09546406140963015
95,600,genus,0.33002159827213823
95,600,family,0.5752212389380531
96,600,species,0.10526315789473684
96,600,genus,0.346840328027014
96,600,family,0.5936482084690554
97,600,species,0.12385039852851011
97,600,genus,0.3655737704918033
97,600,family,0.6167883211678832
98,600,species,0.15860679332181923
98,600,genus,0.43584229390681006
98,600,family,0.7172653534183082
99,600,species,0.20899357601713062
99,600,genus,0.499063670411985
99,600,family,0.7267833109017496
100,600,species,0.27391304347826084
100,600,genus,0.548
100,600,family,0.75
90,700,species,0.07854406130268199
90,700,genus,0.3214179326779863
90,700,family,0.5368521160247266
91,700,species,0.08240637745643307
91,700,genus,0.31321473951715373
91,700,family,0.5197368421052632
92,700,species,0.08411503968663024
92,700,genus,0.3071695548759769
92,700,family,0.5075757575757576
93,700,species,0.0858909757214842
93,700,genus,0.3140495867768595
93,700,family,0.5262515262515263
94,700,species,0.08959390862944162
94,700,genus,0.3209624796084829
94,700,family,0.5503401360544218
95,700,species,0.09742700202370627
95,700,genus,0.3317159241288046
95,700,family,0.5738805970149253
96,700,species,0.10680272108843537
96,700,genus,0.34825381210034434
96,700,family,0.5919208573784006
97,700,species,0.12515670706226495
97,700,genus,0.36839176405119645
97,700,family,0.616589861751152
98,700,species,0.15950920245398773
98,700,genus,0.43636363636363634
98,700,family,0.7171361502347418
99,700,species,0.2087483759203118
99,700,genus,0.4976303317535545
99,700,family,0.7257844474761255
100,700,species,0.2735229759299781
100,700,genus,0.5461847389558233
100,700,family,0.7486338797814208
90,800,species,0.08418872681433459
90,800,genus,0.33249843456480904
90,800,family,0.5529061102831595
91,800,species,0.08839222792711164
91,800,genus,0.3252931323283082
91,800,family,0.5374005305039787
92,800,species,0.09030738164684765
92,800,genus,0.32028725314183126
92,800,family,0.5261660978384528
93,800,species,0.09192685657420077
93,800,genus,0.3268467037331215
93,800,family,0.5459807073954984
94,800,species,0.09649244419797588
