pident,length,taxonomy,alignment_proportion
90,100,species,0.4423158790974883
90,100,genus,0.4423158790974883
90,100,family,0.4423158790974883
91,100,species,0.41209025117071096
91,100,genus,0.41209025117071096
91,100,family,0.41209025117071096
92,100,species,0.38058748403575987
92,100,genus,0.38058748403575987
92,100,family,0.38058748403575987
93,100,species,0.3497232865048957
93,100,genus,0.3497232865048957
93,100,family,0.3497232865048957
94,100,species,0.3120476798637718
94,100,genus,0.3120476798637718
94,100,family,0.3120476798637718
95,100,species,0.2848020434227331
95,100,genus,0.2848020434227331
95,100,family,0.2848020434227331
96,100,species,0.2571306939123031
96,100,genus,0.2571306939123031
96,100,family,0.2571306939123031
97,100,species,0.2249893571732652
97,100,genus,0.2249893571732652
97,100,family,0.2249893571732652
98,100,species,0.19284802043422733
98,100,genus,0.19284802043422733
98,100,family,0.19284802043422733
99,100,species,0.15070242656449553
99,100,genus,0.15070242656449553
99,100,family,0.15070242656449553
100,100,species,0.05427841634738186
100,100,genus,0.05427841634738186
100,100,family,0.05427841634738186
90,200,species,0.36930608769689227
90,200,genus,0.36930608769689227
90,200,family,0.36930608769689227
91,200,species,0.34589186888037465
91,200,genus,0.34589186888037465
91,200,family,0.34589186888037465
92,200,species,0.316943380161771
92,200,genus,0.316943380161771
92,200,family,0.316943380161771
93,200,species,0.2879948914431673
93,200,genus,0.2879948914431673
93,200,family,0.2879948914431673
94,200,species,0.25244785014899956
94,200,genus,0.25244785014899956
94,200,family,0.25244785014899956
95,200,species,0.23222647935291613
95,200,genus,0.23222647935291613
95,200,family,0.23222647935291613
96,200,species,0.210727969348659
96,200,genus,0.210727969348659
96,200,family,0.210727969348659
97,200,species,0.1839080459770115
97,200,genus,0.1839080459770115
97,200,family,0.1839080459770115
98,200,species,0.16326096211153682
98,200,genus,0.16326096211153682
98,200,family,0.16326096211153682
99,200,species,0.13771817794806301
99,200,genus,0.13771817794806301
99,200,family,0.13771817794806301
100,200,species,0.04171988080034057
100,200,genus,0.04171988080034057
100,200,family,0.04171988080034057
90,300,species,0.3412090251170711
90,300,genus,0.3412090251170711
90,300,family,0.3412090251170711
91,300,species,0.3173690932311622
91,300,genus,0.3173690932311622
91,300,family,0.3173690932311622
92,300,species,0.289272030651341
92,300,genus,0.289272030651341
92,300,family,0.289272030651341
93,300,species,0.2609621115368242
93,300,genus,0.2609621115368242
93,300,family,0.2609621115368242
94,300,species,0.2277564921243082
94,300,genus,0.2277564921243082
94,300,family,0.2277564921243082
95,300,species,0.20689655172413793
95,300,genus,0.20689655172413793
95,300,family,0.20689655172413793
96,300,species,0.1866751809280545
96,300,genus,0.1866751809280545
96,300,family,0.1866751809280545
97,300,species,0.16560238399318858
97,300,genus,0.16560238399318858
97,300,family,0.16560238399318858
98,300,species,0.14644529587058322
98,300,genus,0.14644529587058322
