pident,coverage,taxonomy,accuracy
90,90,species,0.22152886115444617
90,90,genus,0.44118564742589705
90,90,family,0.5482059282371294
91,90,species,0.26764934057408846
91,90,genus,0.5271528316524438
91,90,family,0.648176881303336
92,90,species,0.27903225806451615
92,90,genus,0.5245967741935483
92,90,family,0.6479838709677419
93,90,species,0.29726261762189904
93,90,genus,0.5517536355859709
93,90,family,0.6753635585970915
94,90,species,0.3630952380952381
94,90,genus,0.6520562770562771
94,90,family,0.7792207792207793
95,90,species,0.3875570776255708
95,90,genus,0.6575342465753424
95,90,family,0.7876712328767124
96,90,species,0.39499709133216987
96,90,genus,0.6614310645724258
96,90,family,0.7929028504944735
97,90,species,0.49113338473400153
97,90,genus,0.7694680030840401
97,90,family,0.889745566692367
98,90,species,0.5216666666666666
98,90,genus,0.7683333333333333
98,90,family,0.8933333333333333
99,90,species,0.5216666666666666
99,90,genus,0.7683333333333333
99,90,family,0.8933333333333333
100,90,species,0.5216666666666666
100,90,genus,0.7683333333333333
100,90,family,0.8933333333333333
90,91,species,0.2318032786885246
90,91,genus,0.46
90,91,family,0.5711475409836065
91,91,species,0.287087338069369
91,91,genus,0.5637275386544087
91,91,family,0.6907647304638529
92,91,species,0.3013998250218723
92,91,genus,0.5647419072615923
92,91,family,0.6951006124234471
93,91,species,0.3138321995464853
93,91,genus,0.5804988662131519
93,91,family,0.708843537414966
94,91,species,0.373675404350251
94,91,genus,0.6653653095370887
94,91,family,0.7930842163970998
95,91,species,0.398939304655274
95,91,genus,0.671184443134944
95,91,family,0.8020035356511491
96,91,species,0.40685096153846156
96,91,genus,0.6754807692307693
96,91,family,0.8076923076923077
97,91,species,0.4953271028037383
97,91,genus,0.7679127725856698
97,91,family,0.8894080996884736
98,91,species,0.5261382799325464
98,91,genus,0.7672849915682968
98,91,family,0.8929173693086003
99,91,species,0.5261382799325464
99,91,genus,0.7672849915682968
99,91,family,0.8929173693086003
100,91,species,0.5261382799325464
100,91,genus,0.7672849915682968
100,91,family,0.8929173693086003
90,92,species,0.2362178416304711
90,92,genus,0.46876044102906783
90,92,family,0.5803541597059806
91,92,species,0.2900634249471459
91,92,genus,0.5695560253699788
91,92,family,0.6972515856236786
92,92,species,0.3040212107821476
92,92,genus,0.5687140963323023
92,92,family,0.6990720282810429
93,92,species,0.31668194317140236
93,92,genus,0.5847846012832264
93,92,family,0.7131072410632447
94,92,species,0.375
94,92,genus,0.6670403587443946
94,92,family,0.7948430493273543
95,92,species,0.40118694362017804
95,92,genus,0.6729970326409496
95,92,family,0.8041543026706232
96,92,species,0.40980629539951574
96,92,genus,0.677360774818402
96,92,family,0.8099273607748184
97,92,species,0.49843260188087773
97,92,genus,0.7695924764890282
97,92,family,0.8910658307210031
98,92,species,0.530161427357689
98,92,genus,0.7697536108751062
98,92,family,0.8954970263381479
99,92,species,0.530161427357689
99,92,genus,0.7697536108751062
99,92,family,0.8954970263381479
100,92,species,0.530161427357689
100,92,genus,0.7697536108751062
100,92,family,0.8954970263381479
90,93,species,0.2394887319206189
90,93,genus,0.4661957618567104
90,93,family,0.5782038345105953
91,93,species,0.29643929643929645
91,93,genus,0.5705705705705706
91,93,family,0.6996996996996997
92,93,species,0.30944917151813706
92,93,genus,0.5714285714285714
92,93,family,0.703537841468876
93,93,species,0.3214451134784623
93,93,genus,0.5859194071329319
93,93,family,0.7156090782769801
94,93,species,0.3815489749430524
94,93,genus,0.6714123006833713
94,93,family,0.80125284738041
95,93,species,0.40685096153846156
95,93,genus,0.6808894230769231
95,93,family,0.8125
96,93,species,0.41169305724725946
96,93,genus,0.6808769792935444
96,93,family,0.8142509135200975
97,93,species,0.5015797788309637
97,93,genus,0.7748815165876777
97,93,family,0.8973143759873617
98,93,species,0.5338474721508141
98,93,genus,0.7754927163667523
98,93,family,0.9023136246786633
99,93,species,0.5338474721508141
99,93,genus,0.7754927163667523
99,93,family,0.9023136246786633
100,93,species,0.5338474721508141
100,93,genus,0.7754927163667523
100,93,family,0.9023136246786633
90,94,species,0.2530431575064552
90,94,genus,0.5064551825894504
90,94,family,0.6222796016230173
91,94,species,0.3069936421435059
91,94,genus,0.6003633060853769
91,94,family,0.7257039055404177
92,94,species,0.3223652837386743
92,94,genus,0.5994277539341917
92,94,family,0.7281831187410587
93,94,species,0.33170493404982904
93,94,genus,0.6091841719589643
93,94,family,0.7376648754274548
94,94,species,0.39140670982931136
94,94,genus,0.6868746321365509
94,94,family,0.8134196586227193
95,94,species,0.41947565543071164
95,94,genus,0.6978776529338327
95,94,family,0.8258426966292135
96,94,species,0.4253164556962025
96,94,genus,0.6987341772151898
96,94,family,0.8284810126582278
97,94,species,0.5092816787732042
97,94,genus,0.784503631961259
97,94,family,0.9071832122679581
98,94,species,0.5430579964850615
98,94,genus,0.7864674868189807
98,94,family,0.9130052724077329
99,94,species,0.5430579964850615
99,94,genus,0.7864674868189807
99,94,family,0.9130052724077329
100,94,species,0.5430579964850615
100,94,genus,0.7864674868189807
100,94,family,0.9130052724077329
90,95,species,0.25973534971644613
90,95,genus,0.500945179584121
90,95,family,0.6196597353497164
91,95,species,0.3163789080727952
91,95,genus,0.5991600559962669
91,95,family,0.7279514699020065
92,95,species,0.329606222654351
92,95,genus,0.594555177442878
92,95,family,0.7258142926592125
93,95,species,0.3381546134663342
93,95,genus,0.6044887780548629
93,95,family,0.7356608478802993
94,95,species,0.40303951367781155
94,95,genus,0.6869300911854104
94,95,family,0.817629179331307
95,95,species,0.4199743918053777
95,95,genus,0.6946222791293214
95,95,family,0.8258642765685019
96,95,species,0.42597402597402595
96,95,genus,0.6954545454545454
96,95,family,0.8285714285714286
97,95,species,0.5116472545757071
97,95,genus,0.781198003327787
97,95,family,0.9076539101497504
98,95,species,0.5378450578806767
98,95,genus,0.7845057880676759
98,95,family,0.9127337488869101
99,95,species,0.5378450578806767
99,95,genus,0.7845057880676759
99,95,family,0.9127337488869101
100,95,species,0.5378450578806767
100,95,genus,0.7845057880676759
100,95,family,0.9127337488869101
90,96,species,0.2605233219567691
90,96,genus,0.502464922260144
90,96,family,0.621539628365567
91,96,species,0.3184593705965242
91,96,genus,0.6031000469704086
91,96,family,0.732738374823861
92,96,species,0.33186490455212925
92,96,genus,0.5986294664708761
92,96,family,0.7307880567792462
93,96,species,0.3412179164569703
93,96,genus,0.6099647710115752
93,96,family,0.7423251132360342
94,96,species,0.4077490774907749
94,96,genus,0.6949569495694957
94,96,family,0.8271832718327183
