pident,coverage,taxonomy,accuracy
90,90,species,0.33667083854818525
90,90,genus,0.49436795994993743
90,90,family,0.6583229036295369
91,90,species,0.36075036075036077
91,90,genus,0.5108225108225108
91,90,family,0.6666666666666666
92,90,species,0.4166666666666667
92,90,genus,0.5425170068027211
92,90,family,0.6972789115646258
93,90,species,0.442495126705653
93,90,genus,0.5847953216374269
93,90,family,0.7641325536062378
94,90,species,0.49430523917995445
94,90,genus,0.6082004555808656
94,90,family,0.7744874715261959
95,90,species,0.5753424657534246
95,90,genus,0.6904109589041096
95,90,family,0.8547945205479452
96,90,species,0.6238532110091743
96,90,genus,0.7339449541284404
96,90,family,0.8929663608562691
97,90,species,0.6587837837837838
97,90,genus,0.7533783783783784
97,90,family,0.9155405405405406
98,90,species,0.69140625
98,90,genus,0.78515625
98,90,family,0.9296875
99,90,species,0.7239263803680982
99,90,genus,0.8343558282208589
99,90,family,0.9570552147239264
100,90,species,0.7239263803680982
100,90,genus,0.8343558282208589
100,90,family,0.9570552147239264
90,91,species,0.3462033462033462
90,91,genus,0.5006435006435006
90,91,family,0.6692406692406693
91,91,species,0.37037037037037035
91,91,genus,0.5185185185185185
91,91,family,0.6785185185185185
92,91,species,0.4290718038528897
92,91,genus,0.5586690017513135
92,91,family,0.7180385288966725
93,91,species,0.4567404426559356
93,91,genus,0.6036217303822937
93,91,family,0.7887323943661971
94,91,species,0.5130023640661938
94,91,genus,0.6312056737588653
94,91,family,0.8014184397163121
95,91,species,0.5789473684210527
95,91,genus,0.6952908587257618
95,91,family,0.8614958448753463
96,91,species,0.6238532110091743
96,91,genus,0.7339449541284404
96,91,family,0.8929663608562691
97,91,species,0.6587837837837838
97,91,genus,0.7533783783783784
97,91,family,0.9155405405405406
98,91,species,0.69140625
98,91,genus,0.78515625
98,91,family,0.9296875
99,91,species,0.7239263803680982
99,91,genus,0.8343558282208589
99,91,family,0.9570552147239264
100,91,species,0.7239263803680982
100,91,genus,0.8343558282208589
100,91,family,0.9570552147239264
90,92,species,0.3507853403141361
90,92,genus,0.4973821989528796
90,92,family,0.6675392670157068
91,92,species,0.3787878787878788
91,92,genus,0.5181818181818182
91,92,family,0.6742424242424242
92,92,species,0.43286219081272087
92,92,genus,0.558303886925795
92,92,family,0.7173144876325088
93,92,species,0.460446247464503
93,92,genus,0.6024340770791075
93,92,family,0.7870182555780934
94,92,species,0.5178997613365155
94,92,genus,0.630071599045346
94,92,family,0.7995226730310262
95,92,species,0.5805555555555556
95,92,genus,0.6972222222222222
95,92,family,0.8611111111111112
96,92,species,0.6238532110091743
96,92,genus,0.7339449541284404
96,92,family,0.8929663608562691
97,92,species,0.6587837837837838
97,92,genus,0.7533783783783784
97,92,family,0.9155405405405406
98,92,species,0.69140625
98,92,genus,0.78515625
98,92,family,0.9296875
99,92,species,0.7239263803680982
99,92,genus,0.8343558282208589
99,92,family,0.9570552147239264
100,92,species,0.7239263803680982
100,92,genus,0.8343558282208589
100,92,family,0.9570552147239264
90,93,species,0.3513157894736842
90,93,genus,0.5
90,93,family,0.6697368421052632
91,93,species,0.3824884792626728
91,93,genus,0.5253456221198156
91,93,family,0.6789554531490015
92,93,species,0.43727598566308246
92,93,genus,0.5663082437275986
92,93,family,0.7240143369175627
93,93,species,0.460446247464503
