pident,coverage,taxonomy,accuracy
90,90,species,0.23529411764705882
90,90,genus,0.3854818523153942
90,90,family,0.5769712140175219
91,90,species,0.25685425685425683
91,90,genus,0.4155844155844156
91,90,family,0.6176046176046176
92,90,species,0.30272108843537415
92,90,genus,0.44387755102040816
92,90,family,0.6581632653061225
93,90,species,0.3391812865497076
93,90,genus,0.48927875243664715
93,90,family,0.7212475633528265
94,90,species,0.3895216400911162
94,90,genus,0.5421412300683371
94,90,family,0.7494305239179955
95,90,species,0.46301369863013697
95,90,genus,0.6273972602739726
95,90,family,0.8383561643835616
96,90,species,0.4984709480122324
96,90,genus,0.672782874617737
96,90,family,0.8776758409785933
97,90,species,0.5337837837837838
97,90,genus,0.6891891891891891
97,90,family,0.9054054054054054
98,90,species,0.5546875
98,90,genus,0.71484375
98,90,family,0.91796875
99,90,species,0.5705521472392638
99,90,genus,0.7730061349693251
99,90,family,0.9570552147239264
100,90,species,0.5705521472392638
100,90,genus,0.7730061349693251
100,90,family,0.9570552147239264
90,91,species,0.24195624195624196
90,91,genus,0.39510939510939513
90,91,family,0.592020592020592
91,91,species,0.2637037037037037
91,91,genus,0.4266666666666667
91,91,family,0.6340740740740741
92,91,species,0.3117338003502627
92,91,genus,0.45709281961471104
92,91,family,0.6777583187390543
93,91,species,0.3501006036217304
93,91,genus,0.5050301810865191
93,91,family,0.744466800804829
94,91,species,0.40425531914893614
94,91,genus,0.5626477541371159
94,91,family,0.7777777777777778
95,91,species,0.46537396121883656
95,91,genus,0.631578947368421
95,91,family,0.8448753462603878
96,91,species,0.4984709480122324
96,91,genus,0.672782874617737
96,91,family,0.8776758409785933
97,91,species,0.5337837837837838
97,91,genus,0.6891891891891891
97,91,family,0.9054054054054054
98,91,species,0.5546875
98,91,genus,0.71484375
98,91,family,0.91796875
99,91,species,0.5705521472392638
99,91,genus,0.7730061349693251
99,91,family,0.9570552147239264
100,91,species,0.5705521472392638
100,91,genus,0.7730061349693251
100,91,family,0.9570552147239264
90,92,species,0.24476439790575916
90,92,genus,0.3900523560209424
90,92,family,0.5890052356020943
91,92,species,0.2696969696969697
91,92,genus,0.42424242424242425
91,92,family,0.6333333333333333
92,92,species,0.31448763250883394
92,92,genus,0.4558303886925795
92,92,family,0.676678445229682
93,92,species,0.35294117647058826
93,92,genus,0.5030425963488844
93,92,family,0.742393509127789
94,92,species,0.4081145584725537
94,92,genus,0.5608591885441527
94,92,family,0.7756563245823389
95,92,species,0.4666666666666667
95,92,genus,0.6333333333333333
95,92,family,0.8444444444444444
96,92,species,0.4984709480122324
96,92,genus,0.672782874617737
96,92,family,0.8776758409785933
97,92,species,0.5337837837837838
97,92,genus,0.6891891891891891
97,92,family,0.9054054054054054
98,92,species,0.5546875
98,92,genus,0.71484375
98,92,family,0.91796875
99,92,species,0.5705521472392638
99,92,genus,0.7730061349693251
99,92,family,0.9570552147239264
100,92,species,0.5705521472392638
100,92,genus,0.7730061349693251
100,92,family,0.9570552147239264
90,93,species,0.24605263157894736
90,93,genus,0.3907894736842105
90,93,family,0.593421052631579
91,93,species,0.27342549923195086
91,93,genus,0.42857142857142855
91,93,family,0.6374807987711214
92,93,species,0.31899641577060933
92,93,genus,0.460573476702509
92,93,family,0.6827956989247311
93,93,species,0.35294117647058826
93,93,genus,0.5030425963488844
93,93,family,0.742393509127789
94,93,species,0.4081145584725537
94,93,genus,0.5608591885441527
94,93,family,0.7756563245823389
95,93,species,0.4666666666666667
95,93,genus,0.6333333333333333
95,93,family,0.8444444444444444
96,93,species,0.4984709480122324
96,93,genus,0.672782874617737
96,93,family,0.8776758409785933
97,93,species,0.5337837837837838
97,93,genus,0.6891891891891891
97,93,family,0.9054054054054054
98,93,species,0.5546875
98,93,genus,0.71484375
98,93,family,0.91796875
99,93,species,0.5705521472392638
99,93,genus,0.7730061349693251
99,93,family,0.9570552147239264
100,93,species,0.5705521472392638
100,93,genus,0.7730061349693251
100,93,family,0.9570552147239264
90,94,species,0.2551159618008186
90,94,genus,0.4051841746248295
90,94,family,0.6030013642564802
91,94,species,0.28434504792332266
91,94,genus,0.44568690095846647
91,94,family,0.6517571884984026
92,94,species,0.3284132841328413
92,94,genus,0.474169741697417
92,94,family,0.6918819188191881
93,94,species,0.36477987421383645
93,94,genus,0.519916142557652
93,94,family,0.7589098532494759
94,94,species,0.4222222222222222
94,94,genus,0.5777777777777777
94,94,family,0.7950617283950617
95,94,species,0.48
95,94,genus,0.6485714285714286
95,94,family,0.8657142857142858
96,94,species,0.5046439628482973
96,94,genus,0.6749226006191951
96,94,family,0.8792569659442725
97,94,species,0.5392491467576792
97,94,genus,0.6928327645051194
97,94,family,0.9078498293515358
98,94,species,0.5568627450980392
98,94,genus,0.7176470588235294
98,94,family,0.9215686274509803
99,94,species,0.5705521472392638
99,94,genus,0.7730061349693251
99,94,family,0.9570552147239264
100,94,species,0.5705521472392638
100,94,genus,0.7730061349693251
100,94,family,0.9570552147239264
90,95,species,0.25874125874125875
90,95,genus,0.40559440559440557
90,95,family,0.6027972027972028
91,95,species,0.29042904290429045
91,95,genus,0.4504950495049505
91,95,family,0.6567656765676567
92,95,species,0.33396584440227706
92,95,genus,0.4838709677419355
92,95,family,0.7001897533206831
93,95,species,0.36752136752136755
93,95,genus,0.5256410256410257
93,95,family,0.7628205128205128
94,95,species,0.42355889724310775
94,95,genus,0.581453634085213
94,95,family,0.7994987468671679
95,95,species,0.4812680115273775
95,95,genus,0.6512968299711815
95,95,family,0.8674351585014409
96,95,species,0.5046439628482973
96,95,genus,0.6749226006191951
96,95,family,0.8792569659442725
97,95,species,0.5392491467576792
97,95,genus,0.6928327645051194
97,95,family,0.9078498293515358
98,95,species,0.5568627450980392
98,95,genus,0.7176470588235294
98,95,family,0.9215686274509803
99,95,species,0.5705521472392638
99,95,genus,0.7730061349693251
99,95,family,0.9570552147239264
100,95,species,0.5705521472392638
100,95,genus,0.7730061349693251
100,95,family,0.9570552147239264
90,96,species,0.2591549295774648
90,96,genus,0.4056338028169014
90,96,family,0.6028169014084507
91,96,species,0.29069767441860467
91,96,genus,0.45016611295681064
91,96,family,0.6561461794019934
92,96,species,0.33460803059273425
92,96,genus,0.4837476099426386
92,96,family,0.6998087954110899
93,96,species,0.36853448275862066
93,96,genus,0.5258620689655172
93,96,family,0.7629310344827587
94,96,species,0.42355889724310775
94,96,genus,0.581453634085213
94,96,family,0.7994987468671679
95,96,species,0.4812680115273775
95,96,genus,0.6512968299711815
95,96,family,0.8674351585014409
96,96,species,0.5046439628482973
96,96,genus,0.6749226006191951
96,96,family,0.8792569659442725
97,96,species,0.5392491467576792
97,96,genus,0.6928327645051194
97,96,family,0.9078498293515358
98,96,species,0.5568627450980392
98,96,genus,0.7176470588235294
98,96,family,0.9215686274509803
99,96,species,0.5705521472392638
99,96,genus,0.7730061349693251
99,96,family,0.9570552147239264
100,96,species,0.5705521472392638
100,96,genus,0.7730061349693251
100,96,family,0.9570552147239264
90,97,species,0.26029411764705884
90,97,genus,0.4073529411764706
90,97,family,0.6176470588235294
91,97,species,0.2893835616438356
91,97,genus,0.4537671232876712
91,97,family,0.6695205479452054
92,97,species,0.3346534653465347
92,97,genus,0.4891089108910891
92,97,family,0.7069306930693069
93,97,species,0.3738738738738739
93,97,genus,0.5382882882882883
93,97,family,0.777027027027027
94,97,species,0.42487046632124353
94,97,genus,0.5880829015544041
94,97,family,0.8031088082901554
95,97,species,0.4835820895522388
95,97,genus,0.6597014925373135
95,97,family,0.8686567164179104
96,97,species,0.5031847133757962
96,97,genus,0.678343949044586
96,97,family,0.8757961783439491
97,97,species,0.5387323943661971
97,97,genus,0.6971830985915493
97,97,family,0.9049295774647887
98,97,species,0.556910569105691
98,97,genus,0.7235772357723578
98,97,family,0.9186991869918699
99,97,species,0.5679012345679012
99,97,genus,0.7716049382716049
99,97,family,0.9567901234567902
100,97,species,0.5679012345679012
100,97,genus,0.7716049382716049
100,97,family,0.9567901234567902
90,98,species,0.2713178294573643
90,98,genus,0.4062015503875969
90,98,family,0.6232558139534884
91,98,species,0.30418943533697634
91,98,genus,0.45719489981785066
91,98,family,0.6830601092896175
92,98,species,0.3471933471933472
92,98,genus,0.49064449064449067
92,98,family,0.7130977130977131
93,98,species,0.38967136150234744
93,98,genus,0.5469483568075117
93,98,family,0.7887323943661971
94,98,species,0.43386243386243384
94,98,genus,0.5925925925925926
94,98,family,0.8121693121693122
95,98,species,0.4954128440366973
95,98,genus,0.6697247706422018
95,98,family,0.8837920489296636
96,98,species,0.5080906148867314
96,98,genus,0.6828478964401294
96,98,family,0.883495145631068
97,98,species,0.5406360424028268
97,98,genus,0.696113074204947
97,98,family,0.9045936395759717
98,98,species,0.5614754098360656
98,98,genus,0.7254098360655737
98,98,family,0.9180327868852459
99,98,species,0.5714285714285714
99,98,genus,0.7701863354037267
99,98,family,0.9565217391304348
100,98,species,0.5714285714285714
100,98,genus,0.7701863354037267
100,98,family,0.9565217391304348
90,99,species,0.2814569536423841
90,99,genus,0.423841059602649
90,99,family,0.6473509933774835
91,99,species,0.31213872832369943
91,99,genus,0.4720616570327553
91,99,family,0.7071290944123314
92,99,species,0.351409978308026
92,99,genus,0.5010845986984815
92,99,family,0.7310195227765727
93,99,species,0.3955773955773956
93,99,genus,0.5601965601965602
93,99,family,0.8083538083538083
94,99,species,0.43922651933701656
94,99,genus,0.6022099447513812
94,99,family,0.8259668508287292
95,99,species,0.4968553459119497
95,99,genus,0.6761006289308176
95,99,family,0.8930817610062893
96,99,species,0.5150501672240803
96,99,genus,0.6923076923076923
96,99,family,0.8996655518394648
97,99,species,0.5474452554744526
97,99,genus,0.708029197080292
97,99,family,0.9233576642335767
98,99,species,0.5672268907563025
98,99,genus,0.7352941176470589
98,99,family,0.9327731092436975
99,99,species,0.56875
99,99,genus,0.76875
99,99,family,0.95625
100,99,species,0.56875
100,99,genus,0.76875
100,99,family,0.95625
90,100,species,0.2814569536423841
90,100,genus,0.423841059602649
90,100,family,0.6473509933774835
91,100,species,0.31213872832369943
91,100,genus,0.4720616570327553
91,100,family,0.7071290944123314
92,100,species,0.351409978308026
92,100,genus,0.5010845986984815
92,100,family,0.7310195227765727
93,100,species,0.3955773955773956
93,100,genus,0.5601965601965602
93,100,family,0.8083538083538083
94,100,species,0.43922651933701656
94,100,genus,0.6022099447513812
94,100,family,0.8259668508287292
95,100,species,0.4968553459119497
95,100,genus,0.6761006289308176
95,100,family,0.8930817610062893
96,100,species,0.5150501672240803
96,100,genus,0.6923076923076923
96,100,family,0.8996655518394648
97,100,species,0.5474452554744526
97,100,genus,0.708029197080292
97,100,family,0.9233576642335767
98,100,species,0.5672268907563025
98,100,genus,0.7352941176470589
98,100,family,0.9327731092436975
99,100,species,0.56875
99,100,genus,0.76875
99,100,family,0.95625
100,100,species,0.56875
100,100,genus,0.76875
100,100,family,0.95625
