pident,coverage,taxonomy,ratio
90,90,species,0.030728809687000227
90,90,genus,0.11904761904761904
90,90,family,0.25924100542138984
91,90,species,0.04052520667855406
91,90,genus,0.15478793178836905
91,90,family,0.3136456211812627
92,90,species,0.04998979800040808
92,90,genus,0.18259874069834
92,90,family,0.34834324553950724
93,90,species,0.05833975841685942
93,90,genus,0.22156573116691286
93,90,family,0.43029637760702527
94,90,species,0.08732394366197183
94,90,genus,0.29372937293729373
94,90,family,0.522273425499232
95,90,species,0.13027295285359802
95,90,genus,0.3888888888888889
95,90,family,0.6624203821656051
96,90,species,0.14509246088193456
96,90,genus,0.43636363636363634
96,90,family,0.7227722772277227
97,90,species,0.1742627345844504
97,90,genus,0.4922737306843267
97,90,family,0.7900874635568513
98,90,species,0.1791497975708502
98,90,genus,0.5275590551181102
98,90,family,0.8263888888888888
99,90,species,0.1801526717557252
99,90,genus,0.5551020408163265
99,90,family,0.896551724137931
100,90,species,0.1801526717557252
100,90,genus,0.5551020408163265
100,90,family,0.896551724137931
90,91,species,0.03214627151051625
90,91,genus,0.1218671679197995
90,91,family,0.26831785345717235
91,91,species,0.042625745950554135
91,91,genus,0.16047684548372307
91,91,family,0.3269093504639543
92,91,species,0.051633298208640675
92,91,genus,0.18808962264150944
92,91,family,0.3609154929577465
93,91,species,0.058838776568170034
93,91,genus,0.2250562640660165
93,91,family,0.43946188340807174
94,91,species,0.08857142857142856
94,91,genus,0.3013544018058691
94,91,family,0.5380952380952381
95,91,species,0.13029925187032418
95,91,genus,0.3915756630265211
95,91,family,0.6673819742489271
96,91,species,0.14509246088193456
96,91,genus,0.43636363636363634
96,91,family,0.7227722772277227
97,91,species,0.1742627345844504
97,91,genus,0.4922737306843267
97,91,family,0.7900874635568513
98,91,species,0.1791497975708502
98,91,genus,0.5275590551181102
98,91,family,0.8263888888888888
99,91,species,0.1801526717557252
99,91,genus,0.5551020408163265
99,91,family,0.896551724137931
100,91,species,0.1801526717557252
100,91,genus,0.5551020408163265
100,91,family,0.896551724137931
90,92,species,0.03223478470050517
90,92,genus,0.12021512179689972
90,92,family,0.26673640167364016
91,92,species,0.043029259896729774
91,92,genus,0.15914378780828292
91,92,family,0.32458059810357404
92,92,species,0.05172049820561537
92,92,genus,0.1872037914691943
92,92,family,0.35929203539823007
93,92,species,0.05893042575285566
93,92,genus,0.22381311228334588
93,92,family,0.4374295377677565
94,92,species,0.08878887070376432
94,92,genus,0.3
94,92,family,0.536
95,92,species,0.1303805364940736
95,92,genus,0.3921875
95,92,family,0.6666666666666666
96,92,species,0.14509246088193456
96,92,genus,0.43636363636363634
96,92,family,0.7227722772277227
97,92,species,0.1742627345844504
97,92,genus,0.4922737306843267
97,92,family,0.7900874635568513
98,92,species,0.1791497975708502
98,92,genus,0.5275590551181102
98,92,family,0.8263888888888888
99,92,species,0.1801526717557252
99,92,genus,0.5551020408163265
99,92,family,0.896551724137931
100,92,species,0.1801526717557252
100,92,genus,0.5551020408163265
100,92,family,0.896551724137931
90,93,species,0.033015951527142325
90,93,genus,0.12373819602735266
90,93,family,0.2723381487426431
91,93,species,0.0444166963967178
91,93,genus,0.16569767441860464
91,93,family,0.33208114199849736
92,93,species,0.05212561418500321
92,93,genus,0.18967587034813926
92,93,family,0.3607142857142857
93,93,species,0.058976357495453366
93,93,genus,0.2239819004524887
93,93,family,0.43792325056433407
94,93,species,0.08886158886158886
94,93,genus,0.3003412969283277
94,93,family,0.5368589743589743
95,93,species,0.1303805364940736
95,93,genus,0.3921875
95,93,family,0.6666666666666666
96,93,species,0.14509246088193456
96,93,genus,0.43636363636363634
96,93,family,0.7227722772277227
97,93,species,0.1742627345844504
97,93,genus,0.4922737306843267
97,93,family,0.7900874635568513
98,93,species,0.1791497975708502
98,93,genus,0.5275590551181102
98,93,family,0.8263888888888888
99,93,species,0.1801526717557252
99,93,genus,0.5551020408163265
99,93,family,0.896551724137931
100,93,species,0.1801526717557252
100,93,genus,0.5551020408163265
100,93,family,0.896551724137931
90,94,species,0.034658645043159825
90,94,genus,0.13044982698961938
90,94,family,0.283675799086758
91,94,species,0.046949249192168786
91,94,genus,0.1761954261954262
91,94,family,0.34919354838709676
92,94,species,0.054701627486437615
92,94,genus,0.19797596457938013
92,94,family,0.3728813559322034
93,94,species,0.06205184776613348
93,94,genus,0.2340764331210191
93,94,family,0.4531435349940688
94,94,species,0.09326424870466321
94,94,genus,0.31198102016607354
94,94,family,0.5563025210084034
95,94,species,0.1357142857142857
95,94,genus,0.40353697749196143
95,94,family,0.6866666666666666
96,94,species,0.1486090775988287
96,94,genus,0.4399260628465804
96,94,family,0.7236180904522613
97,94,species,0.17477477477477477
97,94,genus,0.49443207126948774
97,94,family,0.7905604719764012
98,94,species,0.18006103763987794
98,94,genus,0.5303430079155673
98,94,family,0.8286713286713286
99,94,species,0.1801526717557252
99,94,genus,0.5551020408163265
99,94,family,0.896551724137931
100,94,species,0.1801526717557252
100,94,genus,0.5551020408163265
100,94,family,0.896551724137931
90,95,species,0.03591814005290269
90,95,genus,0.13277858176555715
90,95,family,0.29224293445580274
91,95,species,0.04912998976458546
91,95,genus,0.18003273322422259
91,95,family,0.35823429541595925
92,95,species,0.05542671614100186
92,95,genus,0.20116807268007786
92,95,family,0.3786407766990291
93,95,species,0.06278153153153153
93,95,genus,0.2372055239642567
93,95,family,0.4575242718446602
94,95,species,0.09414870215574131
94,95,genus,0.3129496402877698
94,95,family,0.5587734241908007
95,95,species,0.13747521480502314
95,95,genus,0.4051863857374392
95,95,family,0.6898876404494382
96,95,species,0.1486090775988287
96,95,genus,0.4399260628465804
96,95,family,0.7236180904522613
97,95,species,0.17477477477477477
97,95,genus,0.49443207126948774
97,95,family,0.7905604719764012
98,95,species,0.18006103763987794
98,95,genus,0.5303430079155673
98,95,family,0.8286713286713286
99,95,species,0.1801526717557252
99,95,genus,0.5551020408163265
99,95,family,0.896551724137931
100,95,species,0.1801526717557252
100,95,genus,0.5551020408163265
100,95,family,0.896551724137931
90,96,species,0.03590890037725304
90,96,genus,0.1331630791681868
90,96,family,0.2936170212765957
91,96,species,0.049086054631341136
91,96,genus,0.18031885651456844
91,96,family,0.35904027420736934
92,96,species,0.05540037243947858
92,96,genus,0.2017026850032744
92,96,family,0.37978410206084395
93,96,species,0.06267645398080181
93,96,genus,0.23712183156173344
93,96,family,0.45777233782129745
94,96,species,0.09414870215574131
94,96,genus,0.3129496402877698
94,96,family,0.5587734241908007
95,96,species,0.13747521480502314
95,96,genus,0.4051863857374392
95,96,family,0.6898876404494382
96,96,species,0.1486090775988287
96,96,genus,0.4399260628465804
96,96,family,0.7236180904522613
97,96,species,0.17477477477477477
97,96,genus,0.49443207126948774
97,96,family,0.7905604719764012
98,96,species,0.18006103763987794
98,96,genus,0.5303430079155673
98,96,family,0.8286713286713286
99,96,species,0.1801526717557252
99,96,genus,0.5551020408163265
99,96,family,0.896551724137931
100,96,species,0.1801526717557252
100,96,genus,0.5551020408163265
100,96,family,0.896551724137931
90,97,species,0.03921875
90,97,genus,0.14143426294820718
90,97,family,0.30566534914361
91,97,species,0.051553205551883675
91,97,genus,0.19044811320754718
91,97,family,0.37398373983739835
92,97,species,0.0573044761436301
92,97,genus,0.2098337950138504
92,97,family,0.38969072164948454
93,97,species,0.06546003016591252
93,97,genus,0.24956217162872155
93,97,family,0.4721141374837873
94,97,species,0.09560841720036596
94,97,genus,0.32323232323232326
94,97,family,0.5676156583629893
95,97,species,0.13615023474178403
95,97,genus,0.40765391014975044
95,97,family,0.6875
96,97,species,0.14591009579955785
96,97,genus,0.43796992481203006
96,97,family,0.7172236503856041
97,97,species,0.17166212534059946
97,97,genus,0.49318181818181817
97,97,family,0.7848484848484848
98,97,species,0.17659137577002054
98,97,genus,0.5297297297297298
98,97,family,0.8231046931407943
99,97,species,0.17889908256880735
99,97,genus,0.5532786885245902
99,97,family,0.8959537572254336
100,97,species,0.17889908256880735
100,97,genus,0.5532786885245902
100,97,family,0.8959537572254336
90,98,species,0.04457652303120357
90,98,genus,0.14809720311783586
90,98,family,0.3238593866866118
91,98,species,0.06014058838844051
91,98,genus,0.20614334470989762
91,98,family,0.40205128205128204
92,98,species,0.0658271322266743
92,98,genus,0.2249408050513023
92,98,family,0.41559953434225844
93,98,species,0.07728085867620751
93,98,genus,0.27172827172827174
93,98,family,0.5080291970802919
94,98,species,0.10297029702970296
94,98,genus,0.3466299862448418
94,98,family,0.6046065259117083
95,98,species,0.14255469301340862
95,98,genus,0.4283185840707965
95,98,family,0.7205882352941176
96,98,species,0.15188897455666925
