pident,coverage,taxonomy,alignment_proportion
90,90,species,0.1700723712217965
90,90,genus,0.1700723712217965
90,90,family,0.1700723712217965
91,90,species,0.1475095785440613
91,90,genus,0.1475095785440613
91,90,family,0.1475095785440613
92,90,species,0.1251596424010217
92,90,genus,0.1251596424010217
92,90,family,0.1251596424010217
93,90,species,0.10919540229885058
93,90,genus,0.10919540229885058
93,90,family,0.10919540229885058
94,90,species,0.09344401873137505
94,90,genus,0.09344401873137505
94,90,family,0.09344401873137505
95,90,species,0.07769263516389953
95,90,genus,0.07769263516389953
95,90,family,0.07769263516389953
96,90,species,0.06960408684546615
96,90,genus,0.06960408684546615
96,90,family,0.06960408684546615
97,90,species,0.06300553426990209
97,90,genus,0.06300553426990209
97,90,family,0.06300553426990209
98,90,species,0.05449127288207748
98,90,genus,0.05449127288207748
98,90,family,0.05449127288207748
99,90,species,0.03469561515538527
99,90,genus,0.03469561515538527
99,90,family,0.03469561515538527
100,90,species,0.03469561515538527
100,90,genus,0.03469561515538527
100,90,family,0.03469561515538527
90,91,species,0.16538952745849297
90,91,genus,0.16538952745849297
90,91,family,0.16538952745849297
91,91,species,0.14367816091954022
91,91,genus,0.14367816091954022
91,91,family,0.14367816091954022
92,91,species,0.12154108131119626
92,91,genus,0.12154108131119626
92,91,family,0.12154108131119626
93,91,species,0.10578969774372073
93,91,genus,0.10578969774372073
93,91,family,0.10578969774372073
94,91,species,0.09003831417624521
94,91,genus,0.09003831417624521
94,91,family,0.09003831417624521
95,91,species,0.07684120902511707
95,91,genus,0.07684120902511707
95,91,family,0.07684120902511707
96,91,species,0.06960408684546615
96,91,genus,0.06960408684546615
96,91,family,0.06960408684546615
97,91,species,0.06300553426990209
97,91,genus,0.06300553426990209
97,91,family,0.06300553426990209
98,91,species,0.05449127288207748
98,91,genus,0.05449127288207748
98,91,family,0.05449127288207748
99,91,species,0.03469561515538527
99,91,genus,0.03469561515538527
99,91,family,0.03469561515538527
100,91,species,0.03469561515538527
100,91,genus,0.03469561515538527
100,91,family,0.03469561515538527
90,92,species,0.16262239250744998
90,92,genus,0.16262239250744998
90,92,family,0.16262239250744998
91,92,species,0.140485312899106
91,92,genus,0.140485312899106
91,92,family,0.140485312899106
92,92,species,0.12047679863771818
92,92,genus,0.12047679863771818
92,92,family,0.12047679863771818
93,92,species,0.10493827160493827
93,92,genus,0.10493827160493827
93,92,family,0.10493827160493827
94,92,species,0.08918688803746275
94,92,genus,0.08918688803746275
94,92,family,0.08918688803746275
95,92,species,0.07662835249042145
95,92,genus,0.07662835249042145
95,92,family,0.07662835249042145
96,92,species,0.06960408684546615
96,92,genus,0.06960408684546615
96,92,family,0.06960408684546615
97,92,species,0.06300553426990209
97,92,genus,0.06300553426990209
97,92,family,0.06300553426990209
98,92,species,0.05449127288207748
98,92,genus,0.05449127288207748
98,92,family,0.05449127288207748
99,92,species,0.03469561515538527
99,92,genus,0.03469561515538527
99,92,family,0.03469561515538527
100,92,species,0.03469561515538527
100,92,genus,0.03469561515538527
100,92,family,0.03469561515538527
90,93,species,0.16177096636866753
90,93,genus,0.16177096636866753
90,93,family,0.16177096636866753
91,93,species,0.13856960408684546
91,93,genus,0.13856960408684546
91,93,family,0.13856960408684546
92,93,species,0.11877394636015326
92,93,genus,0.11877394636015326
92,93,family,0.11877394636015326
93,93,species,0.10493827160493827
93,93,genus,0.10493827160493827
93,93,family,0.10493827160493827
94,93,species,0.08918688803746275
94,93,genus,0.08918688803746275
94,93,family,0.08918688803746275
95,93,species,0.07662835249042145
95,93,genus,0.07662835249042145
95,93,family,0.07662835249042145
96,93,species,0.06960408684546615
96,93,genus,0.06960408684546615
96,93,family,0.06960408684546615
97,93,species,0.06300553426990209
97,93,genus,0.06300553426990209
97,93,family,0.06300553426990209
98,93,species,0.05449127288207748
98,93,genus,0.05449127288207748
98,93,family,0.05449127288207748
99,93,species,0.03469561515538527
99,93,genus,0.03469561515538527
99,93,family,0.03469561515538527
100,93,species,0.03469561515538527
100,93,genus,0.03469561515538527
100,93,family,0.03469561515538527
90,94,species,0.1560238399318859
90,94,genus,0.1560238399318859
90,94,family,0.1560238399318859
91,94,species,0.1332481907194551
91,94,genus,0.1332481907194551
91,94,family,0.1332481907194551
92,94,species,0.11536824180502342
92,94,genus,0.11536824180502342
92,94,family,0.11536824180502342
93,94,species,0.10153256704980843
93,94,genus,0.10153256704980843
93,94,family,0.10153256704980843
94,94,species,0.08620689655172414
94,94,genus,0.08620689655172414
94,94,family,0.08620689655172414
95,94,species,0.07449978714346531
95,94,genus,0.07449978714346531
95,94,family,0.07449978714346531
96,94,species,0.06875266070668369
96,94,genus,0.06875266070668369
96,94,family,0.06875266070668369
97,94,species,0.06236696466581524
97,94,genus,0.06236696466581524
97,94,family,0.06236696466581524
98,94,species,0.05427841634738186
98,94,genus,0.05427841634738186
98,94,family,0.05427841634738186
99,94,species,0.03469561515538527
99,94,genus,0.03469561515538527
99,94,family,0.03469561515538527
100,94,species,0.03469561515538527
100,94,genus,0.03469561515538527
100,94,family,0.03469561515538527
90,95,species,0.15219242230736485
90,95,genus,0.15219242230736485
90,95,family,0.15219242230736485
91,95,species,0.12899106002554278
91,95,genus,0.12899106002554278
91,95,family,0.12899106002554278
92,95,species,0.11217539378458918
92,95,genus,0.11217539378458918
92,95,family,0.11217539378458918
93,95,species,0.09961685823754789
93,95,genus,0.09961685823754789
93,95,family,0.09961685823754789
94,95,species,0.08492975734355045
94,95,genus,0.08492975734355045
94,95,family,0.08492975734355045
95,95,species,0.07386121753937847
95,95,genus,0.07386121753937847
95,95,family,0.07386121753937847
96,95,species,0.06875266070668369
96,95,genus,0.06875266070668369
96,95,family,0.06875266070668369
97,95,species,0.06236696466581524
97,95,genus,0.06236696466581524
97,95,family,0.06236696466581524
98,95,species,0.05427841634738186
98,95,genus,0.05427841634738186
98,95,family,0.05427841634738186
99,95,species,0.03469561515538527
99,95,genus,0.03469561515538527
99,95,family,0.03469561515538527
100,95,species,0.03469561515538527
100,95,genus,0.03469561515538527
100,95,family,0.03469561515538527
90,96,species,0.15112813963388677
90,96,genus,0.15112813963388677
90,96,family,0.15112813963388677
91,96,species,0.12813963388676033
91,96,genus,0.12813963388676033
91,96,family,0.12813963388676033
92,96,species,0.11132396764580672
92,96,genus,0.11132396764580672
92,96,family,0.11132396764580672
93,96,species,0.09876543209876543
93,96,genus,0.09876543209876543
93,96,family,0.09876543209876543
94,96,species,0.08492975734355045
94,96,genus,0.08492975734355045
94,96,family,0.08492975734355045
95,96,species,0.07386121753937847
95,96,genus,0.07386121753937847
95,96,family,0.07386121753937847
96,96,species,0.06875266070668369
96,96,genus,0.06875266070668369
96,96,family,0.06875266070668369
97,96,species,0.06236696466581524
97,96,genus,0.06236696466581524
97,96,family,0.06236696466581524
98,96,species,0.05427841634738186
98,96,genus,0.05427841634738186
98,96,family,0.05427841634738186
99,96,species,0.03469561515538527
99,96,genus,0.03469561515538527
99,96,family,0.03469561515538527
100,96,species,0.03469561515538527
100,96,genus,0.03469561515538527
100,96,family,0.03469561515538527
90,97,species,0.1447424435930183
90,97,genus,0.1447424435930183
90,97,family,0.1447424435930183
91,97,species,0.12430821626223926
91,97,genus,0.12430821626223926
91,97,family,0.12430821626223926
92,97,species,0.10749255002128566
92,97,genus,0.10749255002128566
92,97,family,0.10749255002128566
93,97,species,0.09450830140485313
93,97,genus,0.09450830140485313
93,97,family,0.09450830140485313
94,97,species,0.08216262239250745
94,97,genus,0.08216262239250745
94,97,family,0.08216262239250745
95,97,species,0.07130693912303107
95,97,genus,0.07130693912303107
95,97,family,0.07130693912303107
96,97,species,0.06683695189442315
96,97,genus,0.06683695189442315
96,97,family,0.06683695189442315
97,97,species,0.0604512558535547
97,97,genus,0.0604512558535547
97,97,family,0.0604512558535547
98,97,species,0.05236270753512133
98,97,genus,0.05236270753512133
98,97,family,0.05236270753512133
99,97,species,0.034482758620689655
99,97,genus,0.034482758620689655
99,97,family,0.034482758620689655
100,97,species,0.034482758620689655
100,97,genus,0.034482758620689655
100,97,family,0.034482758620689655
90,98,species,0.13729246487867178
90,98,genus,0.13729246487867178
90,98,family,0.13729246487867178
91,98,species,0.11685823754789272
91,98,genus,0.11685823754789272
91,98,family,0.11685823754789272
92,98,species,0.10238399318859089
92,98,genus,0.10238399318859089
92,98,family,0.10238399318859089
93,98,species,0.09067688378033206
93,98,genus,0.09067688378033206
93,98,family,0.09067688378033206
94,98,species,0.08045977011494253
94,98,genus,0.08045977011494253
94,98,family,0.08045977011494253
95,98,species,0.06960408684546615
95,98,genus,0.06960408684546615
95,98,family,0.06960408684546615
96,98,species,0.06577266922094509
96,98,genus,0.06577266922094509
96,98,family,0.06577266922094509
97,98,species,0.06023839931885909
97,98,genus,0.06023839931885909
97,98,family,0.06023839931885909
98,98,species,0.0519369944657301
98,98,genus,0.0519369944657301
98,98,family,0.0519369944657301
99,98,species,0.03426990208599404
99,98,genus,0.03426990208599404
99,98,family,0.03426990208599404
100,98,species,0.03426990208599404
100,98,genus,0.03426990208599404
100,98,family,0.03426990208599404
90,99,species,0.12856534695615154
90,99,genus,0.12856534695615154
90,99,family,0.12856534695615154
91,99,species,0.11047254150702426
91,99,genus,0.11047254150702426
91,99,family,0.11047254150702426
92,99,species,0.09812686249467859
92,99,genus,0.09812686249467859
92,99,family,0.09812686249467859
93,99,species,0.08663260962111537
93,99,genus,0.08663260962111537
93,99,family,0.08663260962111537
94,99,species,0.07705406555981269
94,99,genus,0.07705406555981269
94,99,family,0.07705406555981269
95,99,species,0.06768837803320563
95,99,genus,0.06768837803320563
95,99,family,0.06768837803320563
96,99,species,0.06364410387398893
96,99,genus,0.06364410387398893
96,99,family,0.06364410387398893
97,99,species,0.05832269050659855
97,99,genus,0.05832269050659855
97,99,family,0.05832269050659855
98,99,species,0.05065985525755641
98,99,genus,0.05065985525755641
98,99,family,0.05065985525755641
99,99,species,0.034057045551298425
99,99,genus,0.034057045551298425
99,99,family,0.034057045551298425
100,99,species,0.034057045551298425
100,99,genus,0.034057045551298425
100,99,family,0.034057045551298425
90,100,species,0.12856534695615154
90,100,genus,0.12856534695615154
90,100,family,0.12856534695615154
91,100,species,0.11047254150702426
91,100,genus,0.11047254150702426
91,100,family,0.11047254150702426
92,100,species,0.09812686249467859
92,100,genus,0.09812686249467859
92,100,family,0.09812686249467859
93,100,species,0.08663260962111537
93,100,genus,0.08663260962111537
93,100,family,0.08663260962111537
94,100,species,0.07705406555981269
94,100,genus,0.07705406555981269
94,100,family,0.07705406555981269
95,100,species,0.06768837803320563
95,100,genus,0.06768837803320563
95,100,family,0.06768837803320563
96,100,species,0.06364410387398893
96,100,genus,0.06364410387398893
96,100,family,0.06364410387398893
97,100,species,0.05832269050659855
97,100,genus,0.05832269050659855
97,100,family,0.05832269050659855
98,100,species,0.05065985525755641
98,100,genus,0.05065985525755641
98,100,family,0.05065985525755641
