Accession,Host,order,family,genus,species
NC_092682.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_092683.1,Salmonella enterica,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
NC_092455.1,Klebsiella michiganensis,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis
NC_092456.1,Klebsiella quasipneumoniae,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae
NC_092457.1,Klebsiella variicola,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola
NC_091964.1,Prodigiosinella confusarubida,Enterobacterales,Pectobacteriaceae,Prodigiosinella,Prodigiosinella confusarubida
NC_091965.1,Bacteroides cellulosilyticus,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus
NC_079174.1,Erwinia amylovora,Enterobacterales,Erwiniaceae,Erwinia,Erwinia amylovora
NC_079175.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_079176.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_079177.1,Yersinia pseudotuberculosis,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis
NC_079178.1,Yersinia pseudotuberculosis,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis
NC_079179.1,Yersinia pseudotuberculosis,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis
NC_079180.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_079181.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_079182.1,Escherichia sp.,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia sp.
NC_079183.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_079184.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_079185.1,Vibrio parahaemolyticus,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus
NC_079186.1,Aeromonas veronii,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii
NC_079187.1,Aeromonas hydrophila,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
NC_079188.1,Aeromonas hydrophila,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
NC_079140.1,Gordonia rubripertincta,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia rubripertincta
NC_079141.1,Gordonia rubripertincta,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia rubripertincta
NC_079142.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_079143.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_079144.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_079145.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_079146.1,Gordonia terrae,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia terrae
NC_074762.1,Xanthomonas citri,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas citri
NC_074763.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074765.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_075031.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_075032.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_075033.1,Escherichia coli,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
NC_074742.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074743.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074744.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074745.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074746.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074747.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074748.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074749.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074750.1,Pseudomonas aeruginosa,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
NC_074751.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
NC_074752.1,Serratia marcescens,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
