Accession,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
NC_110914,Escherichia phage vB_EcoM-613R3,Inibicvirus 613R3,Inibicvirus,Peduoviridae,,,44992,complete,United Kingdom,Escherichia coli,,"Lopez-Diaz,M., Bleriot,I., Pacios,O., Fernandez-Garcia,L., Blasco,L., Ambroa,A., Ortiz-Cartagena,C., Woodford,N., Ellington,M.J., Tomas,M.",,2025-10-07,dsDNA
NC_130755,Pasteurella phage vB_PmuM_CFP3,Irtavirus CFP3,Irtavirus,Peduoviridae,,,32696,complete,,Pasteurella multocida,,"Cheng,L., Chen,H., Jiang,N., Fu,Q., Liu,R., Huang,Y., Fu,G.",,2025-10-07,dsDNA
NC_103776,Enterococcus phage 113,Schiekvirus sv113,Schiekvirus,Herelleviridae,,,155715,complete,"USA: Palo Alto, CA",Enterococcus faecium,,"Canfield,G.S., Duerkop,B.A.",,2025-10-06,unknown
NC_105858,Enterococcus phage phiSHEF16,Schiekvirus Shef16,Schiekvirus,Herelleviridae,,,151935,complete,,Enterococcus faecium E1071,,"Alrafaie,A.M., Pyrzanowska,K., Smith,E.M., Partridge,D.G., Rafferty,J., Mesnage,S., Shepherd,J., Stafford,G.P.",,2025-10-06,dsDNA
NC_109279,Enterococcus phage TJE1,Schiekvirus Tje1,Schiekvirus,Herelleviridae,,,150366,complete,,Enterococcus faecium,,"Enroth,T.J., Johnson,C.N., Duerkop,B.A.",2022,2025-10-06,dsDNA
NC_135452,Satomivirus wayo,Satomivirus wayo,Satomivirus,Konodaiviridae,,1827_77749,57601,complete,Japan,Homo sapiens,feces,"Nishijima,S.",,2025-10-06,dsDNA
NC_100732,Shigella phage CM1,Vequintavirus CM1,Vequintavirus,,,,139598,complete,Ireland,Escherichia coli DH5[alpha],muscle,"Kaczorowska,J., Casey,E., Neve,H., Noben,J.-P., Lugli,G.A., Ventura,M., van Sinderen,D., Mahony,J.",2017-01-31,2025-09-28,dsDNA
NC_104261,Ruminococcus phage phiRM10,Aceathervirus RM10,Aceathervirus,,,,36920,complete,Ireland,Mediterraneibacter gnavus ATCC 29149,feces,"Khokhlova,E.V., Shkoporov,A.N., Draper,L.A., Kingston,A.R., Forde,A., Ross,R.P., Hill,C.",,2025-09-26,dsDNA
NC_093712,Escherichia phage L_AB-2017,Kagunavirus LAB2017,Kagunavirus,Sarkviridae,,,41039,complete,,Escherichia coli,,"Baig,A., Colom,J., Atterbury,R., Barrow,P.",,2025-09-25,dsDNA
NC_093713,Escherichia phage P_AB-2017,Kagunavirus PAB2017,Kagunavirus,Sarkviridae,,,41184,complete,,Escherichia coli,,"Baig,A., Colom,J., Atterbury,R., Barrow,P.",,2025-09-25,dsDNA
NC_096890,Streptomyces phage Kromp,Krompvirus kromp,Krompvirus,,,,58268,complete,"USA: St. Louis, MO",Streptomyces lividans,,"Mousa,M., Kelsky,B.L., Goh,L.M., Shaffer,C.D., Weston-Hafer,K.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2017-09-01,2025-09-22,dsDNA
NC_104951,Vibrio phage vB_Vipa36,Versovirus Vipa36,Versovirus,Inoviridae,,,9721,complete,,Vibrio parahaemolyticus,,"Means,J., Marcinqiwica,A., Foxall,R., Xu,F., Cooper,V., Jones,S., Whistler,C.",,2025-09-22,ssDNA(+)
NC_128954,Xanthomonas phage XAJ2,Xajduovirus XAJ2,Xajduovirus,,,,49241,complete,,Xanthomonas arboricola pv. juglandis,,"Domotor,D., Frank,T., Rakhely,G., Doffkay,Z., Schneider,G., Kovacs,T.",,2025-09-22,dsDNA
NC_096909,Microbacterium phage ValentiniPuff,Valentinivirus valentinipuff,Valentinivirus,,,,62517,complete,"USA: Fairchild, WI",Microbacterium paraoxydans,,"Preder,H., Servin-Meza,L.A., Bonilla,J.A., Klyczek,K., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.",2017-10-01,2025-09-17,dsDNA
NC_111672,Klebsiella phage Amrap,Przondovirus amrap,Przondovirus,Autotranscriptaviridae,,,41209,complete,United Kingdom,Klebsiella oxytoca,,"Elek,C.K.A., Adriaenssens,E.M.",2020-11,2025-09-04,dsDNA
NC_133254,Caudoviricetes sp. vir249,Caudoviricetes sp. vir249,,,,,51140,complete,,Methanobacteriales,,"Medvedeva,S., Borrel,G., Krupovic,M., Gribaldo,S.",,2025-04-17,dsDNA
NC_133304,Caudoviricetes sp. vir323,Caudoviricetes sp. vir323,,,,,34179,complete,,Methanobacteriales,,"Medvedeva,S., Borrel,G., Krupovic,M., Gribaldo,S.",,2025-04-17,dsDNA
NC_133305,Caudoviricetes sp. vir080,Caudoviricetes sp. vir080,,,,,53200,complete,,Methanobacteriales,,"Medvedeva,S., Borrel,G., Krupovic,M., Gribaldo,S.",,2025-04-17,dsDNA
NC_086348,Frijoles virus,Phlebovirus limboense,Phlebovirus,Phenuiviridae,,VP-161A,6374,complete,Panama: Canal Zone,Lutzomyia,,"Hughes,H.R., Russell,B.J., Lambert,A.J.",1969-11-24,2024-03-19,ssRNA(+/-)
NC_086346,Frijoles virus,Phlebovirus limboense,Phlebovirus,Phenuiviridae,,VP-161A,1863,complete,Panama: Canal Zone,Lutzomyia,,"Hughes,H.R., Russell,B.J., Lambert,A.J.",1969-11-24,2024-03-12,ssRNA(+/-)
NC_086347,Frijoles virus,Phlebovirus limboense,Phlebovirus,Phenuiviridae,,VP-161A,4310,complete,Panama: Canal Zone,Lutzomyia,,"Hughes,H.R., Russell,B.J., Lambert,A.J.",1969-11-24,2024-03-12,ssRNA(+/-)
NC_083851,Bird's-foot trefoil nucleorhabdovirus,Bird's-foot trefoil nucleorhabdovirus,Nucleorhabdovirus,Rhabdoviridae,,LC,13626,complete,,Lotus corniculatus,,"Debat,H.J., Bejerman,N., Giolitti,F., Trucco,V., de Breuil,S., Dietzgen,R.G., Lenardon,S., Innes,D.J.",,2024-02-21,ssRNA(-)
NC_079174,Erwinia phage Fifi44,Fifivirus fifi44,Fifivirus,Chaseviridae,,,53559,complete,South Korea,Erwinia amylovora,,"Kim,S.G., Park,J., Roh,E.",2020-09,2023-05-17,dsDNA
NC_079175,Escherichia phage PO103-1,Carltongylesvirus PO1031,Carltongylesvirus,Chaseviridae,,,53040,complete,China,Escherichia coli,,"Sun,X., Zhao,C., Hu,X., Xu,S., Li,X., Hu,J., Zhang,X.",,2023-05-17,dsDNA
NC_079176,Escherichia phage MLP1,Carltongylesvirus MLP1,Carltongylesvirus,Chaseviridae,,,51940,complete,Chile,Escherichia coli CFT073,,"Vera,J., Sanchez,P., Silva,C., Molina,R.",2019,2023-05-17,dsDNA
NC_079177,Yersinia phage PYps3T,Carltongylesvirus PYps3T,Carltongylesvirus,Chaseviridae,,,52854,complete,Germany,Yersinia pseudotuberculosis,,"Hammerl,J.A., Hertwig,S.",2019,2023-05-17,dsDNA
NC_079178,Yersinia phage PYps23T,Carltongylesvirus PYps23T,Carltongylesvirus,Chaseviridae,,,54869,complete,Germany,Yersinia pseudotuberculosis,,"Hammerl,J.A., Hertwig,S.",2019,2023-05-17,dsDNA
NC_079179,Yersinia phage PYps16N,Carltongylesvirus PYps16N,Carltongylesvirus,Chaseviridae,,,52376,complete,Germany,Yersinia pseudotuberculosis,,"Hammerl,J.A., Hertwig,S.",2019,2023-05-17,dsDNA
NC_079180,Escherichia phage SKA49,Carltongylesvirus SKA49,Carltongylesvirus,Chaseviridae,,,51548,complete,Pakistan,Escherichia coli,,"Sattar,S., Khanum,S., Altermann,E., Bailie,M.",2020-06-10,2023-05-17,dsDNA
NC_079181,Escherichia phage vB_EcoP_Bp7,Carltongylesvirus Bp7,Carltongylesvirus,Chaseviridae,,,52615,complete,,Escherichia coli,,"Zhang,C., Wei,D.Y., Wang,X.Y., Ge,C.L., Yuan,J.Z., Ge,Q.",,2023-05-17,dsDNA
NC_079182,Escherichia phage vB_EcoM_Bp10,Carltongylesvirus Bp10,Carltongylesvirus,Chaseviridae,,,52288,complete,,Escherichia sp.,,"Wei,D.Y., Wang,X.Y., Zhang,C., Ge,C.L., Ge,Q., Yuan,J.Z.",,2023-05-17,dsDNA
NC_079183,Escherichia phage vB_EcoM_SA91KD,Carltongylesvirus SA91KD,Carltongylesvirus,Chaseviridae,,,53673,complete,South Africa,Escherichia coli O156:H25,,"Bumunang,E.W., McAllister,T.A., Polo Ortega,R., Ateba,C.N., Stanford,K., Schlechte,J., Walker,M., Niu,Y.D.",2017,2023-05-17,dsDNA
